"","colname","nlevels","position","width","digits","exp"
"1","V1",50,1,20,0,0
"2","V2",0,22,4,0,0
"3","V3",0,27,2,0,0
"4","V4",0,30,8,0,0
"5","V5",400,39,6,0,0
"6","V6",0,46,5,2,0
"7","V7",0,52,5,2,0
"8","V8",0,58,8,0,0
"9","V9",0,67,7,0,0
"10","V10",0,75,6,0,0
"11","V11",0,82,7,0,0
"12","V12",0,90,6,0,0
"13","V13",0,97,7,0,0
"14","v14",2266,105,5,0,0
